"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2019-10-14",139.690002,140.289993,139.520004,139.550003,13304300,136.986313,2019-10-14
"2019-10-15",140.059998,141.789993,139.809998,141.570007,19695700,138.969238,2019-10-15
"2019-10-16",140.789993,140.990005,139.529999,140.410004,20751600,137.830536,2019-10-16
"2019-10-17",140.949997,141.419998,139.020004,139.690002,21460600,137.123764,2019-10-17
"2019-10-18",139.759995,140,136.559998,137.410004,32273500,134.885635,2019-10-18
"2019-10-21",138.449997,138.5,137.009995,138.429993,20078200,135.886902,2019-10-21
"2019-10-22",138.970001,140.009995,136.259995,136.369995,27431000,133.864761,2019-10-22
"2019-10-23",136.880005,137.449997,135.610001,137.240005,29844600,134.718796,2019-10-23
"2019-10-24",139.389999,140.419998,138.669998,139.940002,37029300,137.369171,2019-10-24
"2019-10-25",139.339996,141.139999,139.199997,140.729996,25959700,138.144653,2019-10-25
"2019-10-28",144.399994,145.669998,143.509995,144.190002,35280100,141.541107,2019-10-28
"2019-10-29",144.080002,144.5,142.649994,142.830002,20589500,140.20607,2019-10-29
"2019-10-30",143.520004,145,142.789993,144.610001,18496600,141.9534,2019-10-30
"2019-10-31",144.899994,144.929993,142.990005,143.369995,24605100,140.73613,2019-10-31
"2019-11-01",144.259995,144.419998,142.970001,143.720001,33128400,141.079742,2019-11-01
"2019-11-04",144.830002,145,144.160004,144.550003,16912000,141.894485,2019-11-04
"2019-11-05",144.970001,145.020004,143.910004,144.460007,18250200,141.806152,2019-11-05
"2019-11-06",144.369995,144.520004,143.199997,144.059998,16575800,141.413467,2019-11-06
"2019-11-07",143.839996,144.880005,143.770004,144.259995,17786700,141.609802,2019-11-07
"2019-11-08",143.979996,145.990005,143.759995,145.960007,16732700,143.278595,2019-11-08
"2019-11-11",145.339996,146.419998,144.729996,146.110001,14362600,143.425797,2019-11-11
"2019-11-12",146.279999,147.570007,146.059998,147.070007,18641600,144.368195,2019-11-12
"2019-11-13",146.740005,147.460007,146.279999,147.309998,16919200,144.60379,2019-11-13
"2019-11-14",147.020004,148.410004,147,148.059998,19729800,145.339981,2019-11-14
"2019-11-15",148.929993,149.990005,148.270004,149.970001,23485700,147.214905,2019-11-15
"2019-11-18",150.070007,150.550003,148.979996,150.339996,21534000,147.578125,2019-11-18
"2019-11-19",150.880005,151.330002,150.199997,150.389999,23935700,147.627197,2019-11-19
"2019-11-20",150.309998,150.839996,148.460007,149.619995,25696800,147.371078,2019-11-20
"2019-11-21",149.399994,149.800003,148.5,149.479996,18576100,147.2332,2019-11-21
"2019-11-22",150.070007,150.300003,148.820007,149.589996,15901800,147.341553,2019-11-22
"2019-11-25",150,151.350006,149.919998,151.229996,22420900,148.956894,2019-11-25
"2019-11-26",151.360001,152.419998,151.320007,152.029999,24620100,149.744873,2019-11-26
"2019-11-27",152.330002,152.5,151.520004,152.320007,15184400,150.030518,2019-11-27
"2019-11-29",152.100006,152.300003,151.279999,151.380005,11977300,149.104645,2019-11-29
